Symbol,Date,Open,High,Low,Close,Volume
DADA,13-Oct-2023,4.18,4.315,3.89,4.17,1465500
DAIO,13-Oct-2023,3.74,3.75,3.72,3.72,1600
DAKT,13-Oct-2023,9.39,9.46,9.01,9.02,245000
DALI,13-Oct-2023,24.52,24.5501,24.4,24.47,14100
DALN,13-Oct-2023,4.25,4.3628,4.21,4.21,59100
DAPP,13-Oct-2023,5.13,5.13,4.975,5,29100
DARE,13-Oct-2023,0.46,0.4666,0.46,0.46,45300
DASH,13-Oct-2023,80.44,80.7077,74.89,75.37,4099200
DATS,13-Oct-2023,2.23,2.32,2.129,2.17,5000
DAVE,13-Oct-2023,5.33,5.54,5.11,5.115,9500
DAVEW,13-Oct-2023,0.018,0.0244,0.014,0.0236,10700
DAWN,13-Oct-2023,10.62,11.185,10.51,11.07,852800
DAX,13-Oct-2023,26.98,26.98,26.71,26.76,9200
DBGI,13-Oct-2023,6.29,6.29,6,6,14200
DBVT,13-Oct-2023,1.22,1.22,1.17,1.17,69200
DBX,13-Oct-2023,27.98,28.06,27.435,27.64,1964200
DCBO,13-Oct-2023,40.38,40.69,40.2625,40.68,30600
DCGO,13-Oct-2023,5.6,5.905,5.54,5.86,812500
DCOM,13-Oct-2023,20.42,20.76,19.64,19.67,103600
DCOMP,13-Oct-2023,15.01,15.06,14.85,15.03,12500
DCPH,13-Oct-2023,10.83,11.06,10.52,10.95,848500
DCTH,13-Oct-2023,3.27,3.53,3.27,3.46,187400
DDI,13-Oct-2023,7.95,7.95,6.95,7.4799,75400
DDIV,13-Oct-2023,27.6457,27.6457,27.6096,27.6096,1100
DDOG,13-Oct-2023,88.66,88.94,86.7,88.06,2888000
DECA,13-Oct-2023,10.92,10.94,10.92,10.94,7100
DECAU,13-Oct-2023,10.96,10.97,10.96,10.96,21700
DEMZ,13-Oct-2023,26.675,26.675,26.675,26.675,200
DENN,13-Oct-2023,8.22,8.3,8.141,8.2,770300
DERM,13-Oct-2023,2.91,3.0799,2.73,2.99,81300
DFLI,13-Oct-2023,1.4,1.4,1.33,1.37,424500
DFLIW,13-Oct-2023,0.0753,0.0754,0.0626,0.066,118800
DGHI,13-Oct-2023,0.97,1.03,0.97,1.03,11400
DGICA,13-Oct-2023,14.14,14.27,13.96,14.12,21000
DGII,13-Oct-2023,24.75,24.8,24.025,24.17,399500
DGLY,13-Oct-2023,2.3006,2.82,2.3006,2.66,141000
DGRE,13-Oct-2023,22.28,22.3,21.97,22.12,9700
DGRS,13-Oct-2023,40.33,40.33,39.77,39.83,11300
DGRW,13-Oct-2023,64.29,64.6,63.75,64,416900
DH,13-Oct-2023,6.8,6.87,6.5,6.805,1927800
DHACW,13-Oct-2023,0.04,0.0637,0.0398,0.06,184300
DHC,13-Oct-2023,1.99,2,1.83,1.88,1029400
DHCNI,13-Oct-2023,13.36,13.45,13.21,13.222,4400
DHCNL,13-Oct-2023,14.51,14.584,14.21,14.21,8300
DHIL,13-Oct-2023,162.09,162.09,158.36,160.53,10900
DIBS,13-Oct-2023,3.64,3.77,3.57,3.59,54600
DIOD,13-Oct-2023,80,81.1099,77.44,77.54,299600
DIST,13-Oct-2023,10.52,10.521,10.52,10.521,400
DISTR,13-Oct-2023,0.14,0.2,0.14,0.2,800
DISTW,13-Oct-2023,0.0202,0.033,0.0202,0.033,800
DIVD,13-Oct-2023,29.34,29.34,29.02,29.02,500
DJCO,13-Oct-2023,303.5,303.5,303.5,303.5,800
DKNG,13-Oct-2023,29.44,29.6195,28.32,28.55,7961200
DLHC,13-Oct-2023,15.25,15.25,14.41,14.66,15400
DLO,13-Oct-2023,18.71,18.71,18.02,18.34,535500
DLPN,13-Oct-2023,2,2,1.85,1.85,11800
DLTH,13-Oct-2023,5.45,5.45,5.3149,5.36,42100
DLTR,13-Oct-2023,108.01,109.36,107.07,107.94,2683300
DMAC,13-Oct-2023,2.15,2.15,2.05,2.05,21500
DMAT,13-Oct-2023,15.68,15.68,15.44,15.53,2900
DMLP,13-Oct-2023,29.01,29.6,28.92,29.03,105900
DMRC,13-Oct-2023,28.75,29.01,27.85,28.25,100300
DMTK,13-Oct-2023,1.33,1.33,1.16,1.22,698800
DMXF,13-Oct-2023,57.16,57.34,56.69,56.89,13800
DNLI,13-Oct-2023,20.52,20.76,20.1,20.76,821400
DNTH,13-Oct-2023,11.79,12.5,11.61,12.5,9000
DNUT,13-Oct-2023,11.77,11.78,11.61,11.7,1241600
DOCU,13-Oct-2023,40.35,40.705,39.92,40.57,3120100
DOGZ,13-Oct-2023,0.46,0.4601,0.4303,0.4303,7000
DOMH,13-Oct-2023,2.3001,2.4,2.3001,2.3487,1400
DOMO,13-Oct-2023,9.04,9.105,8.8,8.84,336700
DOOO,13-Oct-2023,76.7,76.755,75.5,75.71,36700
DORM,13-Oct-2023,78.27,78.45,76.01,76.55,70900
DOX,13-Oct-2023,80.38,81.13,80.21,80.89,988600
DOYU,13-Oct-2023,0.9432,0.96,0.932,0.94,318800
DPCSW,13-Oct-2023,0.025,0.025,0.025,0.025,288800
DPRO,13-Oct-2023,0.735,0.7794,0.7289,0.7453,171600
DRCT,13-Oct-2023,2.55,2.55,2.4,2.46,7800
DRIO,13-Oct-2023,2.6,2.68,2.53,2.63,81100
DRIV,13-Oct-2023,23.22,23.2389,22.72,22.77,56500
DRMA,13-Oct-2023,0.8,0.8699,0.6606,0.75,62600
DRRX,13-Oct-2023,2.58,2.6899,2.5,2.53,181000
DRS,13-Oct-2023,18.15,19.18,18.15,18.89,1052300
DRTS,13-Oct-2023,3.88,3.9,3.64,3.85,25400
DRTSW,13-Oct-2023,0.3,0.3149,0.2969,0.2998,10400
DRUG,13-Oct-2023,1.56,1.56,1.54,1.56,4500
DRVN,13-Oct-2023,11.12,11.26,11.05,11.25,1125500
DSGN,13-Oct-2023,2.15,2.1605,2.1,2.14,177400
DSGR,13-Oct-2023,31.61,32.16,30.99,31.67,115000
DSGX,13-Oct-2023,74.18,74.625,73.49,73.75,125800
DSP,13-Oct-2023,5.5,5.51,5.36,5.42,11700
DTCK,13-Oct-2023,2.92,2.92,2.71,2.7187,25800
DTI,13-Oct-2023,3.802,3.92,3.802,3.85,3400
DTIL,13-Oct-2023,0.3,0.306,0.291,0.3001,553000
DTSS,13-Oct-2023,0.22,0.26,0.212,0.2499,4080600
DTST,13-Oct-2023,3.67,3.67,3.412,3.5,25400
DUO,13-Oct-2023,0.7775,0.7775,0.655,0.7,34200
DUOL,13-Oct-2023,174.86,174.935,159.75,160.1,736800
DUOT,13-Oct-2023,4.4,4.46,4.19,4.22,38400
DVAL,13-Oct-2023,11.5977,11.61,11.5977,11.61,200
DVAX,13-Oct-2023,14.29,14.3699,14.11,14.24,1222000
DVLU,13-Oct-2023,22.169,22.169,22.169,22.169,100
DVOL,13-Oct-2023,25.12,25.12,24.93,25.04,18800
DVY,13-Oct-2023,107.11,107.54,106.322,106.68,522600
DWAS,13-Oct-2023,72.91,72.91,71.49,71.74,48000
DWAW,13-Oct-2023,30.96,30.96,30.58,30.6,600
DWSH,13-Oct-2023,9.62,9.65,9.5335,9.64,100700
DWSN,13-Oct-2023,2.35,2.3501,2.35,2.35,500
DWUS,13-Oct-2023,36.0713,36.0713,36.0713,36.0713,0
DXCM,13-Oct-2023,75,76.435,74.75,76.19,5124500
DXJS,13-Oct-2023,28.65,28.65,28.14,28.2244,16900
DXLG,13-Oct-2023,4.18,4.19,4.1,4.11,186200
DXPE,13-Oct-2023,33.68,33.735,32.4915,32.69,75000
DXR,13-Oct-2023,9.02,9.02,8.92,8.92,600
DXYN,13-Oct-2023,0.6001,0.63,0.55,0.574,9500
DYAI,13-Oct-2023,1.8261,1.88,1.8261,1.88,2200
DYN,13-Oct-2023,7.83,8.2,7.39,8.16,586600
DYNT,13-Oct-2023,0.568,0.6596,0.56,0.6596,3900
DYTA,13-Oct-2023,24.9,24.95,24.81,24.8888,17300
DZSI,13-Oct-2023,1.7,1.7,1.58,1.64,162300
EA,13-Oct-2023,131.98,132.5,130.35,131.29,1547500
EAST,13-Oct-2023,1.86,1.96,1.8345,1.94,4300
EBAY,13-Oct-2023,42.54,42.61,41.265,41.79,7025600
EBC,13-Oct-2023,12.21,12.24,11.74,11.76,684600
EBIZ,13-Oct-2023,17.78,17.79,17.46,17.49,1100
EBMT,13-Oct-2023,11.53,11.8,11.5101,11.64,1500
EBON,13-Oct-2023,6.93,7.1,6.6,6.88,11600
EBTC,13-Oct-2023,27.51,27.51,26.51,26.84,5100
ECBK,13-Oct-2023,10.3362,10.3362,10.01,10.05,15600
ECOR,13-Oct-2023,5.21,5.59,5.0623,5.41,40300
ECOW,13-Oct-2023,18.73,18.73,18.48,18.59,51600
ECPG,13-Oct-2023,49.26,49.26,46.33,47.13,150100
ECX,13-Oct-2023,3.9,3.98,3.52,3.83,644800
ECXWW,13-Oct-2023,0.041,0.041,0.0014,0.0399,66800
EDAP,13-Oct-2023,6.66,7.04,6.65,6.97,84900
EDBL,13-Oct-2023,0.55,0.6094,0.5494,0.5921,165100
EDBLW,13-Oct-2023,0.0215,0.0246,0.0171,0.0171,700
EDIT,13-Oct-2023,6.83,7.1608,6.79,7.05,1881200
EDOC,13-Oct-2023,8.62,8.65,8.59,8.65,42900
EDRY,13-Oct-2023,15.3,15.89,14.9501,15.78,6700
EDSA,13-Oct-2023,4.22,4.7999,3.5901,3.955,385800
EDTK,13-Oct-2023,0.94,0.95,0.8601,0.8601,12300
EDUC,13-Oct-2023,1.06,1.42,1.0499,1.16,193700
EEFT,13-Oct-2023,74.31,74.91,73.84,73.93,589000
EEIQ,13-Oct-2023,1.09,1.1199,1.03,1.04,17100
EEMA,13-Oct-2023,63.23,63.6,63.13,63.27,10100
EFAS,13-Oct-2023,13.005,13.005,13.005,13.005,100
EFOI,13-Oct-2023,1.9999,1.9999,1.7615,1.95,2800
EFRA,13-Oct-2023,25.4794,25.53,25.47,25.5013,42000
EFSC,13-Oct-2023,37.85,37.85,36.626,36.66,87000
EFTR,13-Oct-2023,0.59,0.61,0.5722,0.5734,349700
EGAN,13-Oct-2023,6.2,6.2,6.05,6.08,44800
EGBN,13-Oct-2023,20.19,20.4099,19.16,19.24,201200
EGHT,13-Oct-2023,2.46,2.46,2.33,2.38,1454700
EGIO,13-Oct-2023,0.82,0.85,0.8,0.8484,291700
EGRX,13-Oct-2023,12.99,13.44,12.81,13.43,109900
EH,13-Oct-2023,25.55,25.78,19,20.3,9242700
EHTH,13-Oct-2023,8.32,8.43,8.06,8.19,113200
EJH,13-Oct-2023,1.55,1.55,1.5,1.53,1236600
EKG,13-Oct-2023,13.117,13.17,13.117,13.125,900
EKSO,13-Oct-2023,0.87,0.87,0.7776,0.778,33900
ELBM,13-Oct-2023,0.46,0.465,0.44,0.4493,82200
ELDN,13-Oct-2023,1.46,1.51,1.46,1.48,70200
ELEV,13-Oct-2023,0.7,0.702,0.6506,0.661,47300
ELTK,13-Oct-2023,9.07,9.2799,8.77,9.23,37300
ELTX,13-Oct-2023,7.01,7.5,6.44,6.52,4500
ELUT,13-Oct-2023,1.32,1.44,1.3101,1.42,33800
ELVA,13-Oct-2023,2.37,2.65,2.37,2.52,14100
ELVN,13-Oct-2023,12.61,12.975,11.96,12.25,93100
ELWS,13-Oct-2023,0.804,0.804,0.6876,0.7875,24400
ELYM,13-Oct-2023,2.61,2.6292,2.6073,2.61,21300
EM,13-Oct-2023,0.7143,0.7244,0.7142,0.7143,3400
EMB,13-Oct-2023,81.63,81.76,81.18,81.3,6174900
EMBC,13-Oct-2023,15.25,15.65,15.08,15.3,483400
EMCB,13-Oct-2023,61.08,61.08,60.8,60.98,600
EMCG,13-Oct-2023,10.82,10.8386,10.82,10.8386,9900
EMIF,13-Oct-2023,19.72,19.72,19.62,19.62,2000
EMKR,13-Oct-2023,0.446,0.4769,0.436,0.4445,626500
EML,13-Oct-2023,17.51,17.53,17.51,17.51,3000
EMLD,13-Oct-2023,10.47,10.47,10.47,10.47,1600
EMLDW,13-Oct-2023,0.05,0.05,0.05,0.05,200
EMXC,13-Oct-2023,50.03,50.11,49.6107,49.67,1553600
EMXF,13-Oct-2023,34.27,34.279,33.9302,33.9302,3800
ENG,13-Oct-2023,0.3008,0.324,0.3001,0.324,56300
ENLT,13-Oct-2023,13.02,13.13,12.85,12.98,72300
ENLV,13-Oct-2023,1.34,1.4299,1.31,1.41,23300
ENPH,13-Oct-2023,123.87,125.7999,121.88,123.81,2803900
ENSC,13-Oct-2023,1.34,1.53,1.3,1.44,462400
ENSG,13-Oct-2023,95.04,96.21,94.75,95.64,298400
ENTA,13-Oct-2023,9.6,9.8,9.5,9.63,195600
ENTG,13-Oct-2023,98.22,98.665,95.06,95.44,1134300
ENTX,13-Oct-2023,0.69,0.7401,0.68,0.73,36200
ENVB,13-Oct-2023,2.18,2.18,2.09,2.11,2500
ENVX,13-Oct-2023,10.5,10.655,10.13,10.18,4125800
ENZL,13-Oct-2023,43.58,43.58,43.42,43.46,4100
EOLS,13-Oct-2023,8.11,8.24,8,8.14,251200
EOSE,13-Oct-2023,1.92,1.95,1.82,1.82,3879500
EOSEW,13-Oct-2023,0.38,0.38,0.365,0.3775,25800
EPIX,13-Oct-2023,2.8,2.8,2.67,2.74,41400
EPOW,13-Oct-2023,1.69,1.7999,1.604,1.61,18400
EPSN,13-Oct-2023,5.29,5.37,5.27,5.3,22300
EQ,13-Oct-2023,0.672,0.6931,0.645,0.661,61100
EQIX,13-Oct-2023,746.06,749.225,739.27,742.64,263700
EQRR,13-Oct-2023,50.44,50.44,50.005,50.005,1000
ERAS,13-Oct-2023,2.43,2.6,2.3,2.34,1658500
ERET,13-Oct-2023,22.87,22.87,22.87,22.87,100
ERIC,13-Oct-2023,4.83,4.845,4.76,4.77,10909700
ERIE,13-Oct-2023,307.47,308.56,305.75,306.52,50500
ERII,13-Oct-2023,20.57,20.645,19.49,19.51,445700
ERNA,13-Oct-2023,2.1,2.152,2.01,2.152,3900
ESCA,13-Oct-2023,16.49,16.65,16.31,16.65,13300
ESEA,13-Oct-2023,26.77,27.04,26.3401,26.52,19100
ESGD,13-Oct-2023,69.1,69.23,68.5,68.66,321300
ESGE,13-Oct-2023,30.41,30.52,30.2288,30.29,372700
ESGL,13-Oct-2023,0.47,0.5395,0.47,0.51,38400
ESGR,13-Oct-2023,239.5,241.59,236.89,238,23700
ESGRO,13-Oct-2023,23.23,23.24,22.8029,22.84,10100
ESGRP,13-Oct-2023,23.67,23.75,23.2,23.36,18000
ESGU,13-Oct-2023,95.41,95.74,94.32,94.67,441700
ESHAR,13-Oct-2023,0.1552,0.1552,0.13,0.1401,27700
ESLA,13-Oct-2023,1.5,1.7968,1.48,1.49,79500
ESLT,13-Oct-2023,213.06,214.94,210.54,211.86,30900
ESMV,13-Oct-2023,23.0784,23.0784,23.0784,23.0784,100
ESOA,13-Oct-2023,4.6,4.75,4.5838,4.66,154200
ESPO,13-Oct-2023,52.28,52.33,51.59,51.745,14200
ESPR,13-Oct-2023,0.8,0.8549,0.7857,0.83,3899800
ESQ,13-Oct-2023,47.4,47.4,45.49,45.64,25300
ESSA,13-Oct-2023,15.67,15.67,15.015,15.15,14600
ESTA,13-Oct-2023,33.28,34.7906,32.02,34.39,312800
ETEC,13-Oct-2023,21.78,21.78,21.78,21.78,100
ETNB,13-Oct-2023,8,8.03,7.54,7.62,1921900
ETON,13-Oct-2023,3.84,3.97,3.79,3.92,89700
ETSY,13-Oct-2023,64.64,64.64,62.72,63.17,3449300
EUDA,13-Oct-2023,1.685,1.685,1.54,1.54,33200
EUDAW,13-Oct-2023,0.086,0.0998,0.086,0.0994,7400
EUFN,13-Oct-2023,18.88,18.935,18.7,18.74,255500
EVAX,13-Oct-2023,0.815,0.85,0.815,0.849,22900
EVBG,13-Oct-2023,20.57,20.59,19.9,20.58,715800
EVCM,13-Oct-2023,10.13,10.13,9.9,9.91,62900
EVER,13-Oct-2023,7.65,8.05,7.14,7.25,514100
EVGN,13-Oct-2023,0.5005,0.5066,0.4539,0.4681,203800
EVGO,13-Oct-2023,2.9,2.95,2.82,2.87,2253700
EVGOW,13-Oct-2023,0.29,0.29,0.2661,0.2661,23100
EVGR,13-Oct-2023,11.0003,11.01,11.0002,11.0003,2500
EVLV,13-Oct-2023,3.74,3.825,3.6,3.77,2007200
EVLVW,13-Oct-2023,0.5,0.5,0.4489,0.48,19000
EVMT,13-Oct-2023,18.7301,18.83,18.7301,18.83,400
EVO,13-Oct-2023,9.03,9.08,8.9001,8.96,12700
EVOK,13-Oct-2023,1.2756,1.36,1.2701,1.2701,900
EVRG,13-Oct-2023,49.54,50.005,49.33,49.95,1912800
EVTV,13-Oct-2023,1.59,1.6,1.5001,1.575,15000
EWBC,13-Oct-2023,51.99,51.99,50.25,50.52,920400
EWCZ,13-Oct-2023,15.27,15.5,14.79,14.89,260500
EWJV,13-Oct-2023,28.15,28.28,27.93,28.01,53400
EWTX,13-Oct-2023,6.575,6.93,6.53,6.71,96300
EWZS,13-Oct-2023,12.85,12.93,12.61,12.61,37900
EXAI,13-Oct-2023,5.45,5.86,5.25,5.83,914400
EXAS,13-Oct-2023,64.81,65.63,64.1318,65.27,1322000
EXC,13-Oct-2023,40.16,40.6675,39.835,39.95,6173700
EXEL,13-Oct-2023,21.21,21.36,21.05,21.36,2123800
EXFY,13-Oct-2023,3.09,3.09,2.9,2.93,482700
EXLS,13-Oct-2023,29.66,29.94,28.9,29.12,2926700
EXPE,13-Oct-2023,102.49,102.99,98.91,99.16,1526200
EXPI,13-Oct-2023,14.8,14.88,14.22,14.29,465600
EXPO,13-Oct-2023,89.65,89.81,87.65,87.87,125300
EXTR,13-Oct-2023,24.38,24.46,22.8,22.92,1761500
EYE,13-Oct-2023,14.08,14.215,13.71,13.91,1480700
EYEN,13-Oct-2023,1.43,1.44,1.35,1.38,310100
EYPT,13-Oct-2023,8.07,8.15,7.88,8.1,212600
EZFL,13-Oct-2023,2.4,2.4,2.0759,2.0759,1900
EZGO,13-Oct-2023,0.1365,0.1381,0.1304,0.133,4491200
EZPW,13-Oct-2023,8.29,8.31,8.004,8.06,509800
FA,13-Oct-2023,14.1,14.14,13.79,13.87,207400
FAAR,13-Oct-2023,27.84,27.9899,27.8,27.98,8800
FAB,13-Oct-2023,68.4099,68.4099,68.0711,68.24,3700
FAD,13-Oct-2023,98.4374,98.44,98.4374,98.44,500
FALN,13-Oct-2023,24.5,24.56,24.41,24.44,1661700
FAMI,13-Oct-2023,1.5,1.53,1.5,1.53,3500
FANG,13-Oct-2023,165.75,168.3283,165.7302,166.57,2908500
FANH,13-Oct-2023,7.1,7.27,7.1,7.27,9100
FARM,13-Oct-2023,2.35,2.42,2.2507,2.28,22700
FARO,13-Oct-2023,14.2,14.2,13.61,13.68,123600
FAST,13-Oct-2023,60.71,60.9299,59.53,60.12,6601200
FAT,13-Oct-2023,6.64,6.89,6.5,6.89,25800
FATBB,13-Oct-2023,5.66,5.6999,5.16,5.16,8300
FATBP,13-Oct-2023,15.9,15.98,15.9,15.91,1700
FATBW,13-Oct-2023,3.65,3.8,3.6,3.6,700
FATE,13-Oct-2023,1.73,1.77,1.68,1.7,693100
FBIO,13-Oct-2023,3.3,3.3,2.8,2.9,130100
FBIOP,13-Oct-2023,12,12.1,11.5,11.89,7000
FBIZ,13-Oct-2023,30.81,30.81,29.8804,30.25,9100
FBL,13-Oct-2023,105.26,105.3076,99.81,100.6978,21300
FBMS,13-Oct-2023,27.25,27.25,26.41,26.49,32700
FBNC,13-Oct-2023,28.36,28.5,27.155,27.3,136100
FBOT,13-Oct-2023,22.36,22.36,22.06,22.09,8300
FBRX,13-Oct-2023,0.601,0.6317,0.5555,0.5703,35000
FBYD,13-Oct-2023,13.3,13.3,10.1,11.595,88800
FBYDW,13-Oct-2023,0.4,0.4,0.35,0.35,5400
FBZ,13-Oct-2023,10.0517,10.1,9.92,9.9541,8400
FCA,13-Oct-2023,18.61,18.66,18.61,18.66,500
FCAL,13-Oct-2023,47.33,47.56,47.211,47.56,22500
FCAP,13-Oct-2023,26.23,26.76,25.7,26,3800
FCBC,13-Oct-2023,30.92,30.98,30.3,30.35,22100
FCCO,13-Oct-2023,17.38,17.38,17.21,17.35,5200
FCEF,13-Oct-2023,18.2909,18.2909,18.24,18.24,1100
FCEL,13-Oct-2023,1.28,1.32,1.24,1.29,10205200
FCFS,13-Oct-2023,100.48,101.34,99.57,99.65,110800
FCNCA,13-Oct-2023,1361.61,1365.06,1336.39,1351.28,41900
FCNCO,13-Oct-2023,19.6,19.75,19.3,19.4,5500
FCNCP,13-Oct-2023,19.18,19.326,18.97,19.13,10000
FCUV,13-Oct-2023,2.01,2.06,1.94,1.94,14400
FCVT,13-Oct-2023,30.67,30.67,30.45,30.51,7100
FDBC,13-Oct-2023,44.88,44.88,43.2,44,6800
FDCF,13-Oct-2023,24.8904,24.8904,24.87,24.87,2200
FDFF,13-Oct-2023,24.51,24.54,24.45,24.54,2600
FDIF,13-Oct-2023,22.9,22.9,22.5712,22.6,11900
FDIG,13-Oct-2023,15.29,15.29,14.95,15.04,14500
FDIV,13-Oct-2023,23.9035,23.975,23.8376,23.8605,192500
FDMT,13-Oct-2023,10.26,10.57,10.02,10.46,324600
FDNI,13-Oct-2023,20.6176,20.9499,20.4944,20.4944,800
FDT,13-Oct-2023,49.28,49.3588,48.5901,48.98,37900
FDTS,13-Oct-2023,37.4799,37.4799,37.1232,37.1232,100
FDTX,13-Oct-2023,24.2,24.2,23.72,23.77,7400
FDUS,13-Oct-2023,18.34,18.4199,18.2,18.26,79000
FEAM,13-Oct-2023,3.14,3.14,2.85,3.1,130200
FEIM,13-Oct-2023,7.41,7.41,7.15,7.16,13700
FELE,13-Oct-2023,88.56,88.69,86.055,86.56,170800
FEM,13-Oct-2023,20.55,20.5742,20.41,20.46,32200
FEMB,13-Oct-2023,26.9,26.9294,26.73,26.76,10400
FEMS,13-Oct-2023,37.46,37.68,37.19,37.32,132500
FEMY,13-Oct-2023,1.43,1.55,1.28,1.44,3483500
FENC,13-Oct-2023,7.16,7.16,6.72,6.9,76400
FEP,13-Oct-2023,32.44,32.51,32.1375,32.18,21000
FEPI,13-Oct-2023,51.9,51.9,51.0769,51.0769,22200
FEUZ,13-Oct-2023,36.16,36.16,35.83,35.83,1400
FEX,13-Oct-2023,81.43,81.48,80.55,80.6479,17400
FFBC,13-Oct-2023,19.65,20.07,19.2,19.23,191700
FFIC,13-Oct-2023,12.81,12.81,12.22,12.24,57200
FFIE,13-Oct-2023,1.08,1.1,1.03,1.05,2674400
FFIEW,13-Oct-2023,0.019,0.022,0.019,0.022,20200
FFIN,13-Oct-2023,24.34,24.42,23.71,23.91,450500
FFIV,13-Oct-2023,154.4,154.75,149.48,150.51,844200
FFNW,13-Oct-2023,12.21,12.27,12.11,12.11,1300
FGBI,13-Oct-2023,10.59,10.84,10.53,10.53,4600
FGBIP,13-Oct-2023,17.604,18,17.604,18,400
FGEN,13-Oct-2023,0.61,0.6305,0.59,0.595,1230800
FGF,13-Oct-2023,1.42,1.42,1.35,1.39,600
FGM,13-Oct-2023,34.91,34.99,34.81,34.81,1200
FHB,13-Oct-2023,18.27,18.27,17.82,17.92,896800
FHTX,13-Oct-2023,3.56,3.59,3.37,3.49,180600
FIACW,13-Oct-2023,0.1,0.1051,0.0814,0.0814,1000
FIBK,13-Oct-2023,24.42,24.42,22.91,22.98,841200
FICS,13-Oct-2023,30.23,30.25,30,30.09,6400
FID,13-Oct-2023,14.4582,14.5199,14.4212,14.4493,20000
FINW,13-Oct-2023,9,9.1,8.68,8.8,10900
FINX,13-Oct-2023,19.96,19.96,19.6,19.65,39700
FIP,13-Oct-2023,3.16,3.18,3.095,3.13,195600
FISI,13-Oct-2023,16.57,16.67,16.36,16.46,25300
FITB,13-Oct-2023,24.76,24.8975,24.17,24.27,5178900
FITBI,13-Oct-2023,24.96,25.152,24.81,24.81,35900
FITBO,13-Oct-2023,19.11,19.47,18.1206,18.205,22100
FITBP,13-Oct-2023,22.18,22.35,22,22.19,9300
FIVE,13-Oct-2023,163.86,165.22,163.03,164.33,675200
FIVN,13-Oct-2023,61.72,62.11,59.17,60.21,971400
FIXD,13-Oct-2023,41.99,42.006,41.88,41.92,422900
FIXT,13-Oct-2023,26.61,26.68,26.61,26.61,2400
FIZZ,13-Oct-2023,45.01,45.52,44.6,45.23,122000
FJP,13-Oct-2023,48.93,48.934,48.43,48.76,7100
FKU,13-Oct-2023,32,32,31.95,31.95,200
FKWL,13-Oct-2023,2.9,3.02,2.9,2.94,5500
FLEX,13-Oct-2023,26.62,26.784,25.73,25.77,2886200
FLFV,13-Oct-2023,10.7,10.7,10.7,10.7,1500
FLGC,13-Oct-2023,0.96,0.99,0.9266,0.94,38400
FLGT,13-Oct-2023,24.44,25.06,24.31,24.9,217300
FLIC,13-Oct-2023,10.97,10.985,10.51,10.55,94000
FLJ,13-Oct-2023,0.31,0.3265,0.2038,0.23,2411700
FLL,13-Oct-2023,4.34,4.3508,4.07,4.14,111400
FLN,13-Oct-2023,17.73,17.73,17.36,17.55,3000
FLNC,13-Oct-2023,21.18,21.605,20.54,20.7,656500
FLNT,13-Oct-2023,0.4652,0.4652,0.442,0.45,20700
FLUX,13-Oct-2023,3.76,3.76,3.51,3.54,32200
FLWS,13-Oct-2023,6.85,6.91,6.68,6.9,214100
FLXS,13-Oct-2023,19.76,20.02,19.6209,19.98,7900
FLYW,13-Oct-2023,28.47,28.5049,27.01,27.66,1269000
FMAO,13-Oct-2023,17.4,17.4,17.12,17.22,9000
FMB,13-Oct-2023,49.24,49.24,49.02,49.07,184500
FMBH,13-Oct-2023,27.51,27.51,26.75,26.89,22400
FMED,13-Oct-2023,21.18,21.28,21.18,21.26,3600
FMET,13-Oct-2023,24.2633,24.2633,24.14,24.14,1500
FMHI,13-Oct-2023,45.33,45.33,45.09,45.25,125000
FMNB,13-Oct-2023,11.25,11.315,11.01,11.03,50600
FMST,13-Oct-2023,3.9292,3.9292,3.51,3.51,5600
FMSTW,13-Oct-2023,0.45,0.45,0.45,0.45,200
FNCB,13-Oct-2023,5.8798,5.9399,5.76,5.83,20800
FNGR,13-Oct-2023,6.68,7,6.23,6.63,906700
FNK,13-Oct-2023,43.77,43.83,43.34,43.35,8000
FNKO,13-Oct-2023,7.25,7.54,7.18,7.53,746500
FNLC,13-Oct-2023,23.45,23.91,23.15,23.23,8500
FNVT,13-Oct-2023,10.91,10.92,10.91,10.92,1700
FNWB,13-Oct-2023,12.86,12.86,12.5175,12.64,3400
FNWD,13-Oct-2023,22.25,22.25,21.29,21.85,1600
FNX,13-Oct-2023,90.54,90.5852,89.44,89.61,9900
FNY,13-Oct-2023,59.9,59.9,58.8418,59.04,26200
FOLD,13-Oct-2023,10.22,10.46,10.0358,10.44,2975600
FONR,13-Oct-2023,14.68,14.69,14.42,14.45,4400
FORA,13-Oct-2023,2.99,3.02,2.4601,2.5501,6900
FORD,13-Oct-2023,0.78,0.7999,0.761,0.7888,14700
FORLU,13-Oct-2023,10.58,10.58,10.58,10.58,100
FORM,13-Oct-2023,34.81,34.81,33.73,33.87,325700
FORR,13-Oct-2023,28.81,29.115,28.55,28.65,19200
FORTY,13-Oct-2023,63.03,63.03,63.03,63.03,100
FOSL,13-Oct-2023,1.73,1.73,1.61,1.67,492300
FOSLL,13-Oct-2023,14.9,14.9,14.86,14.86,2300
FOX,13-Oct-2023,28.44,28.66,28.4,28.58,698300
FOXA,13-Oct-2023,30.89,31.09,30.7625,30.95,2717600
FOXF,13-Oct-2023,91.19,92.96,89.8,92.08,192000
FPA,13-Oct-2023,24.75,24.75,24.75,24.75,0
FPAY,13-Oct-2023,0.9901,1.18,0.9588,1.02,40700
